molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL4227059,COc1c(OCCOCCOc2cn(CCOCCOc3cccc([C@H](O)C4CCN(CCc5ccc(F)cc5)CC4)c3OC)nn2)cccc1[C@H](O)C1CCN(CCc2ccc(F)cc2)CC1,36.31,
CHEMBL4227059,COc1c(OCCOCCOc2cn(CCOCCOc3cccc([C@H](O)C4CCN(CCc5ccc(F)cc5)CC4)c3OC)nn2)cccc1[C@H](O)C1CCN(CCc2ccc(F)cc2)CC1,36.5,
CHEMBL4284346,O=C1[C@@H]2[C@H]3CC[C@H](C3)[C@@H]2C(=O)N1CCCCN1CCN(c2cccc3sccc23)CC1,27.5,
CHEMBL4277532,O=C1[C@@H]2[C@H](C(=O)N1CCCCN1CCN(c3nsc4ccccc34)CC1)[C@H]1C=C[C@@H]2C1,35.8,
CHEMBL4292655,O=C1[C@@H]2[C@H](C(=O)N1CCCN1CCN(c3cccc4sccc34)CC1)[C@H]1C=C[C@@H]2C1,113.0,
CHEMBL285157,C1=C(c2c[nH]c3ccccc23)CCN(Cc2ccccc2)C1,2618.0,
CHEMBL4635232,CCOC(=O)Cc1nn(CNC(=O)CCCN2CCN(c3cccc(C)c3C)CC2)c(=O)c2c(F)cccc12,104.0,
CHEMBL4645247,Cc1cccc(N2CCN(CCCC(=O)NCn3nc(CC(N)=O)c4ccccc4c3=O)CC2)c1C,256.0,
CHEMBL4639499,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(S(C)(=O)=O)CC2)cc1,2018.0,
CHEMBL4635414,O=c1n(CCCCN2CCN(c3cccc4sccc34)CC2)nc2c(F)cc(F)cn12,27.0,
CHEMBL489624,COc1c(O)cccc1C(=O)C1CCN(CCc2ccc(F)cc2)CC1,11.0,
CHEMBL4638687,COc1c(OCCOCCOCCOCCOCCOCCOc2ccc(C3CCN(c4ccn5c(CC6CC6)nnc5c4Cl)CC3)cc2)cccc1C(=O)C1CCN(CCc2ccc(F)cc2)CC1,270.0,
CHEMBL4638006,COc1cccc(C(=O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC,0.8128,
CHEMBL4646835,COc1cccc(C2CCN(c3ccn4c(CC5CC5)nnc4c3Cl)CC2)c1,4168.69,
CHEMBL4645305,COCCOc1ccc(C2CCN(c3ccn4c(CC5CC5)nnc4c3Cl)CC2)cc1,50118.72,
CHEMBL4752859,CC(C)N(CCCN1CCN(c2cccc(Cl)c2Cl)CC1)C(=O)c1ccccc1,2008.0,
CHEMBL5077004,CCn1cc(CCN(C)C)c2c(O)cccc21,196.0,
CHEMBL5092058,Cc1cn([C@H](C)CC#N)c(=O)c2cc(Cn3nc(C(F)F)cc3Cl)nn12,10000.0,
CHEMBL2111101,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(C)CC2)cc1,27.3,
CHEMBL5198862,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(CC(=O)N(C)C)CC2)cc1,252.0,
CHEMBL5175451,CN1CCC(N(Cc2ccc(F)cn2)C(=O)NCc2ccc(OCCCC(F)F)cc2)CC1,4.29,
CHEMBL5194545,CN1CCC(N(Cc2ccc(F)cn2)C(=O)NCc2ccc3c(c2)CCC(C)(C)O3)CC1,21.25,
CHEMBL5200155,CN1CCC(N(Cc2ccc(F)cn2)C(=O)NCc2ccc3c(c2)C=CC(C)(C)O3)CC1,17.27,
CHEMBL2111101,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(C)CC2)cc1,50.0,
CHEMBL5198862,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(CC(=O)N(C)C)CC2)cc1,86.4,
CHEMBL5172822,CN1CCC(N(Cc2ccc(F)cn2)C(=O)NCc2ccc(OCC(F)F)cc2)CC1,6.01,
CHEMBL5184906,CN1CCC(N(Cc2ccc(F)cn2)C(=O)NCc2ccc(OCCC(F)(F)F)cc2)CC1,2.23,
CHEMBL5181432,CN1CCC(N(Cc2ccc(F)cn2)C(=O)NCc2ccc(CCC(F)(F)F)cc2)CC1,872.4,
CHEMBL5181200,CC(C)CCc1ccc(CNC(=O)N(Cc2ccc(F)cn2)C2CCN(C)CC2)cc1,42.74,
CHEMBL5208211,CC(C)Cc1ccc(CNC(=O)N(Cc2ccc(F)cn2)C2CCN(C)CC2)cc1,8.3,
CHEMBL5185362,CN1CCC(N(Cc2ccc(F)cn2)C(=O)NCc2ccc(OCC(F)(F)F)c(F)c2)CC1,9.79,
CHEMBL5192882,CN1CCC(N(Cc2ccc(F)cn2)C(=O)NCc2ccc(OCC(F)(F)F)c(C(F)(F)F)c2)CC1,30.49,
CHEMBL5179185,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)nc2)C2CCN(C)CC2)cc1,500.0,
CHEMBL4635134,CNC(=O)c1cc(C(=O)NC2CC2)cn(Cc2ccccc2)c1=O,25118.86,
CHEMBL5423590,O=C1C[C@]2(CN3CCC2CC3)Oc2ccc(F)cc21,10000.0,
CHEMBL5409198,COc1ccc2c(c1)C(=O)C[C@]1(CN3CCC1CC3)O2,10000.0,
CHEMBL5428071,O=C1C[C@]2(CN3CCC2CC3)Oc2c1ccc1ccccc21,50000.0,
CHEMBL1852372,CCCc1nc(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c(C)n1-c1ccccc1,21.0,
CHEMBL3681352,Cc1nc(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c(C)n1-c1ccc(Cl)cc1,30.0,
CHEMBL3681354,CCc1c(C(=O)NCCCN2CCN(c3cccc(C)c3C)CC2)nc(-c2ccc(Cl)cc2Cl)n1-c1ccc(Br)cc1,127.0,
CHEMBL1852779,COc1cc(OC)cc(-n2c(C)nc(C(=O)NCCCN3CCN(c4cccc(C)c4C)CC3)c2C)c1,32.0,
CHEMBL3681362,Cc1cccc(N2CCN(CCNC(=O)c3nc(C(C)C)n(-c4ccccc4)c3C)CC2)c1C,16.0,
CHEMBL3681365,CCCc1nc(C(=O)NCC(O)CN2CCN(c3cccc(C)c3C)CC2)cn1-c1ccccc1,504.0,
CHEMBL3681366,Cc1cccc(N2CCN(CCCNC(=O)c3nc(C)n(-c4ccccn4)c3C)CC2)c1C,297.0,
CHEMBL1852513,Cc1cccc(N2CCN(C[C@@H](O)CNC(=O)c3nc(C)n(-c4ccccc4F)c3C)CC2)c1C,244.0,
CHEMBL1852358,Cc1c(Cl)cccc1N1CCN(C[C@@H](O)CNC(=O)c2nc(-c3ccccc3)n(-c3ccc(F)cc3)c2C)CC1,20.1,
CHEMBL5777902,O=C(c1cccn2ccnc12)N1CCN(CC(F)c2ccc(F)cc2)CC1,10.0,
CHEMBL6004129,COc1ccccc1N1CCN(CCCCOc2ccc3c(c2)NC(=O)CO3)CC1,262.0,
CHEMBL4116465,Cc1nc2n(c(=O)c1CCN1CCN(c3cccc4sccc34)CC1)CCC=C2,77.2,
CHEMBL4102561,Cc1nc2c(O)cccn2c(=O)c1CCN1CCN(c2cccc3sccc23)CC1,71.3,
CHEMBL5810422,O=c1ccc2ccc(CCN3CCN(c4cccc5c4CCS5)CC3)cc2[nH]1,77.9,
CHEMBL4116744,Cc1nc2n(c(=O)c1CCN1CCN(c3cccc4sccc34)CC1)CCCC2(F)F,25.4,
CHEMBL6058232,O=c1[nH]c2ccc(CCN3CCN(c4cccc5sccc45)CC3)cc2s1,7.64,
CHEMBL4091554,Cc1nc2n(c(=O)c1CCN1CCN(c3cncc4sccc34)CC1)CCCC2O,65.4,
CHEMBL5885759,O=C1CCc2ccc(CCN3CCC(c4cccc5sccc45)CC3)cc2N1,25.0,
CHEMBL6007113,O=C1CCc2ccc(CCN3CCN(c4cc(F)cc5sccc45)CC3)cc2N1,77.5,
